"58102","Lucille Cole","voice (uncredited)"
"58103","Henry Hank","voice (uncredited)"
"58104","James Howard Horn","voice (uncredited)"
"58105","Rowena McNally","voice (uncredited)"
"58106","Charles Noel","voice (uncredited)"
"58107","Dennis O'Shea","voice (uncredited)"
"58108","Jerry Schatzberg",NULL
"58109","James O. Blair","gaffer (as Jim Blair)"
"58110","Jim Buchanan","best boy"
"58111","Tom May","key grip"
"58112","John R. Shannon","still photographer (as John Shannon)"
"58113","Sven Walnum","camera operator"
"58114","Jo Ynocencio",NULL
"58115","Albert Brenner","(as Al Brenner)"
"58116","Vilmos Zsigmond","director of photography"
"58117","Candy Flanagin","special effects"
"58118","Frank Griffin","makeup artist"
"58119","Edward Beyer","sound editor"
"58120","Victor Goode","sound"
"58121","Arthur Piantadosi","sound re-recording mixer"
"58122","Robert M. Reitano","sound editor"
"58123","Barry Thomas","sound"
"58124","Sherman Edwards",NULL
"58125","Sheldon Schrager","assistant director"
"58126","Florence Williamson",NULL
"58127","William H. Ziegler",NULL
"58128","Mentor Huebner","titles"
"58129","Marshall Schlom","script supervisor"
"58130","Onna White","choreographer"
"58131","John Roche","construction"
"58132","Sherman Edwards","(play)"
"58133","Peter Stone","(play)"
"58134","Peter Stone","(screenplay)"
"58135","Mickey Sherrard","costumer: men"
"58136","Jack L. Warner","producer"
"58137","George Jenkins",NULL
"58138","John Jay Moore",NULL
"58139","Peter H. Hunt",NULL
"58140","Richard Craig Meinardus","first assistant camera"
"58141","Ray Heindorf","music supervisor / musical director"
"58142","Peter Howard","music arranger: dance music"
"58143","Eddie Sauter","orchestrator"
"58144","Ted Sebern","music editor"
"58145","George James Hopkins",NULL
"58146","Patricia Zipprodt",NULL
"58147","Emmett Emerson","unit production manager"
"58148","George Jenkins",NULL
"58149","Harry Stradling Jr.",NULL
"58150","Michael Shurtleff",NULL
"58151","Ernest Adler","hair designer"
"58152","Carmen Dirigo","hair stylist"
"58153","Allan Snyder","makeup artist"
"58154","Al Overton Jr.","sound"
"58155","Arthur Piantadosi","sound"
"58156","Quincy Jones",NULL
"58157","Richard Brooks","(written by)"
"58158","George Grenville",NULL
"58159","Olaf Ivens","scenic designer"
"58160","Joe LaBella","props (as Joe La Bella)"
"58161","Guy Sheppard","scenic designer"
"58162","Murray Jordan","assistant editor"
"58163","Tom Shaw","assistant director"
"58164","Johannes Kohner","wardrobe"
"58165","M.J. Frankovich","producer"
"58166","Elsa De Bruycker","technical advisor"
"58167","Don Elliott","the human instrument"
"58168","Al Horwits","public relations"
"58169","Gene Levy","auditor"
"58170","Marshall Schlom","script supervisor"
"58171","Richard Brooks",NULL
"58172","Karl Petri","gaffer"
"58173","Phil Stern","stillman"
"58174","Ralph James Hall","music editor (as Ralph Hall)"
"58175","Frank Winterstein","unit manager"
"58176","Petrus R. Schlomp","(as Petrus Schloemp) (photography)"
"58177","Robert Jiras","makeup artist (as Bob Jiras)"
"58178","Barry Richardson","hairdresser"
"58179","Ernst Schmekel","makeup artist"
"58180","Jack Haynes","sound re-recordist"
"58181","Vince Melandri","sound editor"
"58182","Arthur Piantadosi","sound re-recordist (as Arthur R. Piantadosi)"
"58183","Nancy Sammons","assistant sound editor"
"58184","Jerry Stanford","sound editor"
"58185","Richard Tyler","sound re-recordist"
"58186","Jan van der Eerden","sound mixer"
"58187","Quincy Jones",NULL
"58188","Abe Burrows","(stage play)"
"58189","Pierre Barillet","(play ""Fleur de cactus"") (as Barillet) and"
"58190","Jean-Pierre Gredy","(play ""Fleur de cactus"") (as Gredy)"
"58191","I.A.L. Diamond","(screenplay)"
"58192","Maury Winetrobe",NULL
"58193","Max Frankel","property master"
"58194","Abe Lincoln Jr.","assistant editor (uncredited)"
"58195","Anthony Ray","assistant director"
