"22048","Frank Marshall"
"22049","Andrew Winner"
"22050","Mathilda Calnan"
"22051","Gustaf Unger"
"22052","Bertil Unger"
"22053","James O'Connell"
"22054","Ric Mancini"
"22055","Mark Dennis"
"22056","E. Hampton Beagle"
"22057","Hedgemon Lewis"
"22058","Bill Riddle"
"22059","Dino Judd"
"22060","Harry Carey Jr."
"22061","James Best"
"22062","Jack Verbois"
"22063","John Chappell"
"22064","George Gaynes"
"22065","Carleton Rippel"
"22066","Rita Abrams"
"22067","Sara Jane Gould"
"22068","Mary Beth Bell"
"22069","Miriam Byrd-Nethery"
"22070","Rusty Blitz"
"22071","Les Josephson"
"22072","Tom Erhart"
"22073","Griffin O'Neal"
"22074","Patricia O'Neal"
"22075","Morgan Farley"
"22076","Anna Thea Bogdanovich"
"22077","Elaine Partnow"
"22078","Joseph G. Medalis"
"22079","Billy Beck"
"22080","Roger Hampton"
"22081","Gordon Hurst"
"22082","Charles Thomas Murphy"
"22083","Hamilton Camp"
"22084","Ted Gehring"
"22085","Stanley Brock"
"22086","Vincent Milana"
"22087","Lee Gordon Moore"
"22088","John Finnegan"
"22089","Christian Grey"
"22090","Robert Ball"
"22091","Chief Tug Smith"
"22092","Rude Frimel"
"22093","Jon Cutler"
"22094","John Otrin"
"22095","Carl D. Parker"
"22096","Gus Peters"
"22097","Allen Williams"
"22098","Anouk Aimee"
"22099","Gary Lockwood"
"22100","Alexandra Hay"
"22101","Carol Cole"
"22102","Tom Holland"
"22103","Severn Darden"
"22104","Neil Elliot"
"22105","Jacqueline Mille"
"22106","Duke Hobbie"
"22107","Anne Randall"
"22108","Craig Littler"
"22109","Hilary Thompson"
"22110","Jon Lawson"
"22111","Jeanne Sorel"
"22112","Jon Hill"
"22113","Jay Ferguson"
"22114","David Mink"
"22115","Ken Prymus"
"22116","Mildred Shay"
"22117","Fred Willard"
"22118","Michael Caine"
"22119","Katharine Ross"
"22120","Richard Widmark"
"22121","Richard Chamberlain"
"22122","Olivia de Havilland"
"22123","Ben Johnson"
"22124","Lee Grant"
"22125","Jose Ferrer"
"22126","Patty Duke"
"22127","Slim Pickens"
"22128","Bradford Dillman"
"22129","Fred MacMurray"
"22130","Henry Fonda"
"22131","Cameron Mitchell"
"22132","Christian Juttner"
"22133","Morgan Paull"
"22134","Alejandro Rey"
"22135","Don 'Red' Barry"
"22136","Elizabeth Rogers"
"22137","Doria Cook-Nelson"
"22138","Robert Varney"
"22139","Ernie F. Orsatti"
"22140","Patrick Culliton"
"22141","John Furlong"
"22142","Chris Petersen"
"22143","Jerry Toomey"
"22144","Barbara Costello"
"22145","Jenifer Taurins"
"22146","David Himes"
"22147","Mara Cook"
"22148","Joey Eisnach"
